,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Closing Rank,Closing Rank 2024,Closing Rank 2023,Closing Rank 2022,Closing Rank 2021,Closing Rank 2020,State,mean_rank,median_rank,std_dev,min_rank,max_rank,lower_limit,upper_limit
0,0,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,16156,14782.0,14997.0,13624.0,12396.0,11238.0,Odisha,13865.5,14203.0,1815.9385176816972,11238.0,16156.0,12387.061482318302,16018.938517681698
1,1,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),23960,23024.0,21229.0,21674.0,21029.0,15697.0,Odisha,21102.166666666668,21451.5,2878.3646340703026,15697.0,23960.0,18573.1353659297,24329.8646340703
2,2,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2346,2267.0,2341.0,2171.0,1760.0,1779.0,Odisha,2110.6666666666665,2219.0,271.8401491072771,1760.0,2346.0,1947.159850892723,2490.8401491072773
3,3,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3698,4265.0,3354.0,3334.0,3536.0,2819.0,Odisha,3501.0,3445.0,477.1481950086367,2819.0,4265.0,2967.851804991363,3922.148195008637
4,4,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,5414,5231.0,5274.0,4615.0,4260.0,4073.0,Odisha,4811.166666666667,4923.0,572.8942019838101,4073.0,5414.0,4350.1057980161895,5495.8942019838105
5,5,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),8600,8720.0,7192.0,8015.0,7788.0,7347.0,Odisha,7943.666666666667,7901.5,629.8890907665148,7192.0,8720.0,7271.6109092334855,8531.389090766515
6,6,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2872,2587.0,2799.0,2362.0,2319.0,2012.0,Odisha,2491.8333333333335,2474.5,324.0070472484614,2012.0,2872.0,2150.4929527515387,2798.5070472484613
7,7,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3644,4293.0,3985.0,2464.0,3110.0,2229.0,Odisha,3287.5,3377.0,831.2291501144555,2229.0,4293.0,2545.7708498855445,4208.2291501144555
8,8,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1093,977.0,858.0,737.0,698.0,689.0,Odisha,842.0,797.5,165.31908540758386,689.0,1093.0,632.1809145924161,962.8190854075839
9,9,Indian Institute of Technology Bhubaneswar,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1429,1750.0,1349.0,990.0,909.0,848.0,Odisha,1212.5,1169.5,354.6518010669056,848.0,1750.0,814.8481989330944,1524.1518010669056
10,10,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4162,3685.0,3101.0,2769.0,2304.0,2251.0,Odisha,3045.3333333333335,2935.0,763.6906878224106,2251.0,4162.0,2171.309312177589,3698.690687822411
11,11,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),6467,7557.0,5206.0,5436.0,5008.0,3960.0,Odisha,5605.666666666667,5321.0,1249.2831010890472,3960.0,7557.0,4071.7168989109528,6570.283101089048
12,13,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,538,466.0,367.0,355.0,292.0,282.0,Odisha,383.3333333333333,361.0,100.43438986057846,282.0,538.0,260.56561013942155,461.43438986057845
13,14,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1035,1025.0,792.0,787.0,685.0,731.0,Odisha,842.5,789.5,150.4868765042321,685.0,1035.0,639.0131234957679,939.9868765042321
14,15,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1510,1237.0,1134.0,859.0,740.0,848.0,Odisha,1054.6666666666667,996.5,292.1914897232064,740.0,1510.0,704.3085102767936,1288.6914897232064
15,16,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3264,3291.0,2291.0,2212.0,2120.0,2255.0,Odisha,2572.1666666666665,2273.0,549.3958196661736,2120.0,3291.0,1723.6041803338264,2822.3958196661733
16,17,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,54,31.0,41.0,34.0,52.0,50.0,Odisha,43.666666666666664,45.5,9.77070451229934,31.0,54.0,35.72929548770066,55.27070451229934
17,18,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,747,596.0,651.0,366.0,439.0,610.0,Odisha,568.1666666666666,603.0,140.65762214208894,366.0,747.0,462.34237785791106,743.6576221420889
18,19,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1330,1313.0,1056.0,725.0,1329.0,599.0,Odisha,1058.6666666666667,1184.5,326.80922059615557,599.0,1330.0,857.6907794038444,1511.3092205961557
19,20,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,265,356.0,268.0,204.0,291.0,293.0,Odisha,279.5,279.5,49.415584586241614,204.0,356.0,230.0844154137584,328.9155845862416
20,21,Indian Institute of Technology Bhubaneswar,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),663,649.0,466.0,225.0,462.0,737.0,Odisha,533.6666666666666,557.5,187.81018786707676,225.0,737.0,369.68981213292324,745.3101878670768
21,22,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,8165,7661.0,7714.0,6631.0,5877.0,5319.0,Odisha,6894.5,7146.0,1136.6803860364619,5319.0,8165.0,6009.319613963538,8282.680386036462
22,23,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),16009,14183.0,12898.0,10729.0,12085.0,9092.0,Odisha,12499.333333333334,12491.5,2458.7436358162,9092.0,16009.0,10032.7563641838,14950.2436358162
23,24,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1224,1261.0,1225.0,1140.0,889.0,771.0,Odisha,1085.0,1182.0,204.9068080860175,771.0,1261.0,977.0931919139825,1386.9068080860175
24,25,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2530,2249.0,1880.0,1663.0,1648.0,1372.0,Odisha,1890.3333333333333,1771.5,428.2516394208744,1372.0,2530.0,1343.2483605791256,2199.751639420874
25,26,Indian Institute of Technology Bhubaneswar,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3215,2876.0,2692.0,2490.0,2200.0,2349.0,Odisha,2637.0,2591.0,371.416747064534,2200.0,3215.0,2219.583252935466,2962.416747064534
