,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Closing Rank,Closing Rank 2024,Closing Rank 2023,Closing Rank 2022,Closing Rank 2021,Closing Rank 2020,State,mean_rank,median_rank,std_dev,min_rank,max_rank,lower_limit,upper_limit
0,0,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,9527,8044.0,7757.0,6763.0,8292.0,8722.0,Madhya Pradesh,8184.166666666667,8168.0,930.153410285995,6763.0,9527.0,7237.846589714005,9098.153410285995
1,1,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),15152,11529.0,11765.0,11773.0,12237.0,12477.0,Madhya Pradesh,12488.833333333334,12005.0,1350.0850960834532,11529.0,15152.0,10654.914903916546,13355.085096083454
2,2,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,129,212.0,295.0,347.0,367.0,397.0,Madhya Pradesh,291.1666666666667,321.0,102.61465132556202,129.0,397.0,218.38534867443798,423.614651325562
3,3,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),481,,,,,,Madhya Pradesh,481.0,481.0,,481.0,481.0,,
4,4,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1448,1365.0,1379.0,1093.0,1097.0,1692.0,Madhya Pradesh,1345.6666666666667,1372.0,226.97107010953326,1093.0,1692.0,1145.0289298904668,1598.9710701095332
5,5,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2137,2013.0,2222.0,2065.0,2051.0,2206.0,Madhya Pradesh,2115.6666666666665,2101.0,86.26857287950615,2013.0,2222.0,2014.731427120494,2187.2685728795063
6,6,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3413,3625.0,3022.0,2719.0,3222.0,3292.0,Madhya Pradesh,3215.5,3257.0,315.1334637895506,2719.0,3625.0,2941.8665362104493,3572.1334637895507
7,7,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6583,6214.0,5231.0,5482.0,6427.0,7824.0,Madhya Pradesh,6293.5,6320.5,920.6325542799364,5231.0,7824.0,5399.867445720063,7241.132554279937
8,8,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,229,195.0,,194.0,189.0,226.0,Madhya Pradesh,206.6,195.0,19.24318061028374,189.0,229.0,175.75681938971627,214.24318061028373
9,9,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,2092,2195.0,1846.0,1464.0,2020.0,2191.0,Madhya Pradesh,1968.0,2056.0,278.65318946676354,1464.0,2195.0,1777.3468105332365,2334.6531894667637
10,10,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),4039,3313.0,3722.0,2448.0,2737.0,4897.0,Madhya Pradesh,3526.0,3517.5,895.6785137536793,2448.0,4897.0,2621.8214862463205,4413.178513753679
11,11,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,97,67.0,,62.0,,,Madhya Pradesh,75.33333333333333,67.0,18.929694486000912,62.0,97.0,48.07030551399909,85.92969448600091
12,12,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,933,1343.0,945.0,601.0,894.0,1465.0,Madhya Pradesh,1030.1666666666667,939.0,318.23413812265125,601.0,1465.0,620.7658618773487,1257.2341381226513
13,13,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),613,1493.0,1163.0,1030.0,634.0,2528.0,Madhya Pradesh,1243.5,1096.5,711.7968108947946,613.0,2528.0,384.7031891052054,1808.2968108947946
14,14,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST (PwD),Gender-Neutral,84,75.0,,,,,Madhya Pradesh,79.5,79.5,6.363961030678928,75.0,84.0,73.13603896932108,85.86396103067892
15,15,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,17366,17195.0,17777.0,,,,Madhya Pradesh,17446.0,17366.0,299.1337493496847,17195.0,17777.0,17066.866250650317,17665.133749349683
16,16,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),27081,25669.0,26461.0,,,,Madhya Pradesh,26403.666666666668,26461.0,707.7438331298503,25669.0,27081.0,25753.25616687015,27168.74383312985
17,17,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,748,1334.0,1618.0,,,,Madhya Pradesh,1233.3333333333333,1334.0,443.65001220932396,748.0,1618.0,890.3499877906761,1777.650012209324
18,18,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,2573,2803.0,3106.0,,,,Madhya Pradesh,2827.3333333333335,2803.0,267.33187863278357,2573.0,3106.0,2535.6681213672164,3070.3318786327836
19,19,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),4546,4312.0,5414.0,,,,Madhya Pradesh,4757.333333333333,4546.0,580.6008382127375,4312.0,5414.0,3965.3991617872625,5126.6008382127375
20,20,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,6392,6543.0,7542.0,,,,Madhya Pradesh,6825.666666666667,6543.0,624.9402638119369,6392.0,7542.0,5918.059736188063,7167.940263811937
21,21,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),14415,13502.0,13287.0,,,,Madhya Pradesh,13734.666666666666,13502.0,598.9126257922213,13287.0,14415.0,12903.087374207778,14100.912625792222
22,22,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,639,973.0,670.0,,,,Madhya Pradesh,760.6666666666666,670.0,184.53816226822389,639.0,973.0,485.4618377317761,854.5381622682239
23,23,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,4070,5088.0,3997.0,,,,Madhya Pradesh,4385.0,4070.0,609.9090096071708,3997.0,5088.0,3460.090990392829,4679.90900960717
24,24,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),7972,4852.0,5833.0,,,,Madhya Pradesh,6219.0,5833.0,1595.414366238439,4852.0,7972.0,4237.5856337615605,7428.4143662384395
25,25,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1811,1671.0,1804.0,,,,Madhya Pradesh,1762.0,1804.0,78.88599368709251,1671.0,1811.0,1725.1140063129076,1882.8859936870924
26,26,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Electrical and Electronics Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),3331,,2536.0,,,,Madhya Pradesh,2933.5,2933.5,562.1498910433053,2536.0,3331.0,2371.350108956695,3495.649891043305
27,27,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN,Gender-Neutral,13473,13577.0,13027.0,11191.0,12740.0,,Madhya Pradesh,12801.6,13027.0,961.8543548791574,11191.0,13577.0,12065.145645120843,13988.854354879157
28,28,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN,Female-only (including Supernumerary),20921,22022.0,21488.0,16910.0,18301.0,,Madhya Pradesh,19928.4,20921.0,2211.3308888540405,16910.0,22022.0,18709.66911114596,23132.33088885404
29,29,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN (PwD),Gender-Neutral,371,776.0,,399.0,779.0,,Madhya Pradesh,581.25,587.5,226.90141030853025,371.0,779.0,360.5985896914698,814.4014103085302
30,30,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN (PwD),Female-only (including Supernumerary),604,555.0,1386.0,,,,Madhya Pradesh,848.3333333333334,604.0,466.277099301835,555.0,1386.0,137.722900698165,1070.277099301835
31,31,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,EWS,Gender-Neutral,1887,2370.0,2133.0,1776.0,2016.0,,Madhya Pradesh,2036.4,2016.0,229.76357413654583,1776.0,2370.0,1786.236425863454,2245.7635741365457
32,32,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,EWS,Female-only (including Supernumerary),3537,3809.0,4040.0,3491.0,3868.0,,Madhya Pradesh,3749.0,3809.0,231.27364743956454,3491.0,4040.0,3577.7263525604353,4040.2736474395647
33,33,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL,Gender-Neutral,5314,6241.0,4756.0,4363.0,5059.0,,Madhya Pradesh,5146.6,5059.0,707.1077004247655,4363.0,6241.0,4351.892299575235,5766.107700424765
34,34,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL,Female-only (including Supernumerary),10183,10475.0,9144.0,8419.0,10710.0,,Madhya Pradesh,9786.2,10183.0,970.4327385244172,8419.0,10710.0,9212.567261475582,11153.432738524418
35,35,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL (PwD),Gender-Neutral,345,557.0,397.0,248.0,412.0,,Madhya Pradesh,391.8,397.0,112.46643943861653,248.0,557.0,284.53356056138347,509.46643943861653
36,36,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,SC,Gender-Neutral,3704,4293.0,2796.0,2948.0,3270.0,,Madhya Pradesh,3402.2,3270.0,607.4250571058128,2796.0,4293.0,2662.574942894187,3877.425057105813
37,37,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,SC,Female-only (including Supernumerary),6422,5371.0,4366.0,5119.0,4966.0,,Madhya Pradesh,5248.8,5119.0,752.9094899123002,4366.0,6422.0,4366.0905100877,5871.9094899123
38,38,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,ST,Gender-Neutral,1594,1981.0,1468.0,1313.0,1843.0,,Madhya Pradesh,1639.8,1594.0,272.08399438408725,1313.0,1981.0,1321.9160056159128,1866.0839943840872
39,39,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,ST,Female-only (including Supernumerary),3499,2568.0,2358.0,1397.0,2565.0,,Madhya Pradesh,2477.4,2565.0,748.5100533726985,1397.0,3499.0,1816.4899466273014,3313.5100533726986
